Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","07/11/2024","3545","N393FR","SJU","11:08","11:04","-4","0","0","0","0","0"
"F9","07/11/2024","3547","N392FR","SJU","05:59","06:34","35","35","0","1","0","0"
"F9","07/12/2024","3545","N610FR","SJU","11:08","11:11","3","0","0","0","0","0"
"F9","07/12/2024","3547","N392FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/13/2024","3545","N396FR","SJU","11:08","11:28","20","20","0","17","0","0"
"F9","07/13/2024","3547","N394FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/14/2024","3545","N395FR","SJU","11:08","11:05","-3","0","0","19","0","0"
"F9","07/14/2024","3547","N396FR","SJU","05:59","20:35","876","423","0","7","0","453"
"F9","07/15/2024","3545","N629FR","SJU","11:08","11:06","-2","0","0","0","0","0"
"F9","07/15/2024","3547","N396FR","SJU","05:59","08:12","133","37","60","1","0","36"
"F9","07/16/2024","3545","N629FR","SJU","11:08","11:19","11","0","0","0","0","0"
"F9","07/16/2024","3547","N395FR","SJU","05:59","05:55","-4","0","0","0","0","0"
"F9","07/17/2024","3545","N610FR","SJU","11:08","11:35","27","0","0","0","0","26"
"F9","07/17/2024","3547","N395FR","SJU","05:59","05:53","-6","0","0","0","0","0"
"F9","07/18/2024","3545","N396FR","SJU","11:08","11:26","18","9","0","0","0","8"
"F9","07/18/2024","3547","N395FR","SJU","05:59","05:58","-1","0","0","31","0","0"
"F9","07/19/2024","3545","N635FR","SJU","11:08","11:19","11","0","0","0","0","0"
"F9","07/19/2024","3547","N396FR","SJU","05:59","06:39","40","33","0","0","0","0"
"F9","07/20/2024","3545","N395FR","SJU","11:08","11:01","-7","0","0","0","0","0"
"F9","07/20/2024","3547","N394FR","SJU","05:59","06:04","5","0","0","0","0","0"
"F9","07/21/2024","3545","N631FR","SJU","11:08","11:15","7","0","0","0","0","0"
"F9","07/21/2024","3547","N395FR","SJU","05:59","05:51","-8","0","0","0","0","0"
"F9","07/22/2024","3545","N635FR","SJU","11:08","18:13","425","425","0","10","0","0"
"F9","07/22/2024","3547","N394FR","SJU","05:59","05:52","-7","0","0","0","0","0"
"F9","07/23/2024","3545","N633FR","SJU","11:08","11:46","38","0","0","0","0","34"
"F9","07/23/2024","3547","N394FR","SJU","05:59","05:57","-2","0","0","0","0","0"
"F9","07/24/2024","3545","N633FR","SJU","11:08","11:42","34","12","0","7","0","22"
"F9","07/24/2024","3547","N394FR","SJU","05:59","05:57","-2","0","0","17","0","0"
"F9","07/25/2024","3545","N396FR","SJU","11:08","10:57","-11","0","0","0","0","0"
"F9","07/25/2024","3547","N393FR","SJU","05:59","05:51","-8","0","0","0","0","0"
"F9","07/26/2024","3545","N645FR","SJU","11:08","11:07","-1","0","0","0","0","0"
"F9","07/26/2024","3547","N393FR","SJU","05:59","06:28","29","27","0","0","0","0"
"F9","07/27/2024","3545","N393FR","SJU","11:08","11:30","22","13","0","2","0","9"
"F9","07/27/2024","3547","N396FR","SJU","05:59","05:56","-3","0","0","0","0","0"
"F9","07/28/2024","3545","N395FR","SJU","11:08","10:55","-13","0","0","0","0","0"
"F9","07/28/2024","3547","N394FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/29/2024","3545","N645FR","SJU","11:08","11:31","23","5","0","25","0","18"
"F9","07/29/2024","3547","N392FR","SJU","05:59","06:08","9","0","0","0","0","0"
"F9","07/30/2024","3545","N645FR","SJU","11:08","11:17","9","9","0","7","0","0"
"F9","07/30/2024","3547","N396FR","SJU","05:59","05:50","-9","0","0","0","0","0"
"F9","07/31/2024","3545","N621FR","SJU","11:08","11:17","9","9","0","10","0","0"
"F9","07/31/2024","3547","N396FR","SJU","05:59","05:56","-3","0","0","0","0","0"
"F9","08/01/2024","3545","N394FR","SJU","11:08","11:24","16","11","0","22","0","5"
"F9","08/01/2024","3547","N395FR","SJU","05:59","05:57","-2","0","0","21","0","0"
"F9","08/02/2024","3545","N634FR","SJU","11:08","12:11","63","0","0","0","0","54"
"F9","08/02/2024","3547","N646FR","SJU","05:59","05:57","-2","0","0","0","0","0"
"F9","08/03/2024","3545","N396FR","SJU","11:08","11:40","32","32","0","9","0","0"
"F9","08/03/2024","3547","","SJU","05:59","00:00","0","0","0","0","0","0"
"F9","08/04/2024","3545","N642FR","SJU","11:08","11:08","0","0","0","0","0","0"
"F9","08/04/2024","3547","N633FR","SJU","05:59","06:04","5","5","0","24","0","0"
"F9","08/05/2024","3545","N629FR","SJU","11:08","12:13","65","17","0","0","0","0"
"F9","08/05/2024","3547","N609FR","SJU","05:59","05:58","-1","0","0","0","0","0"
"F9","08/06/2024","3545","N624FR","SJU","11:08","11:51","43","0","0","0","0","0"
"F9","08/06/2024","3547","N619FR","SJU","05:59","06:04","5","0","0","0","0","0"
"F9","08/07/2024","3545","N619FR","SJU","11:08","10:59","-9","0","0","0","0","0"
"F9","08/07/2024","3547","N629FR","SJU","05:59","06:05","6","0","0","0","0","0"
"F9","08/08/2024","3545","N619FR","SJU","11:08","11:34","26","0","0","3","0","26"
"F9","08/08/2024","3547","N634FR","SJU","05:59","12:51","412","395","0","0","0","0"
"F9","08/09/2024","3545","N622FR","SJU","11:08","10:54","-14","0","0","0","0","0"
"F9","08/09/2024","3547","N636FR","SJU","05:59","06:00","1","0","0","0","0","0"
"F9","08/10/2024","3545","N637FR","SJU","11:08","11:03","-5","0","0","0","0","0"
"F9","08/10/2024","3547","N646FR","SJU","05:59","06:05","6","0","0","0","0","0"
"F9","08/11/2024","3545","N637FR","SJU","11:08","11:03","-5","0","0","0","0","0"
"F9","08/11/2024","3547","N613FR","SJU","05:59","06:05","6","0","0","0","0","0"
"F9","08/12/2024","3545","N624FR","SJU","11:08","11:23","15","0","0","0","0","0"
"F9","08/12/2024","3547","N619FR","SJU","05:59","06:04","5","0","0","0","0","0"
"F9","08/13/2024","1871","N614FR","ATL","08:56","10:03","67","0","0","0","0","51"
"F9","08/13/2024","3545","N624FR","SJU","11:08","11:01","-7","0","0","0","0","0"
"F9","08/13/2024","3547","N619FR","SJU","06:00","06:12","12","0","0","0","0","0"
"F9","08/14/2024","1871","N350FR","ATL","08:56","08:41","-15","0","0","0","0","0"
"F9","08/14/2024","3237","N633FR","LAS","06:59","06:56","-3","0","0","20","0","0"
"F9","08/14/2024","3545","","SJU","11:08","00:00","0","0","0","0","0","0"
"F9","08/14/2024","3547","","SJU","06:00","00:00","0","0","0","0","0","0"
"F9","08/15/2024","1871","N354FR","ATL","08:56","08:40","-16","0","0","0","0","0"
"F9","08/15/2024","3237","N633FR","LAS","06:59","06:54","-5","0","0","0","0","0"
"F9","08/15/2024","3545","N646FR","SJU","11:08","11:06","-2","0","0","0","0","0"
"F9","08/15/2024","3547","N622FR","SJU","06:00","05:58","-2","0","0","0","0","0"
"F9","08/16/2024","1871","N316FR","ATL","08:56","08:43","-13","0","0","0","0","0"
"F9","08/16/2024","3237","N637FR","LAS","06:59","07:06","7","0","0","0","0","0"
"F9","08/16/2024","3545","N626FR","SJU","11:08","10:59","-9","0","0","0","0","0"
"F9","08/16/2024","3547","N616FR","SJU","06:00","06:56","56","52","0","0","0","0"
"F9","08/17/2024","1871","N386FR","ATL","08:56","08:46","-10","0","0","0","0","0"
"F9","08/17/2024","3237","N633FR","LAS","06:59","06:59","0","0","0","0","0","0"
"F9","08/17/2024","3545","N624FR","SJU","11:08","11:08","0","0","0","0","0","0"
"F9","08/17/2024","3547","N646FR","SJU","06:00","06:25","25","0","0","0","0","0"
"F9","08/18/2024","1871","N392FR","ATL","08:56","08:53","-3","0","0","52","0","0"
"F9","08/18/2024","3237","N606FR","LAS","06:59","07:24","25","0","0","32","0","0"
"F9","08/18/2024","3545","N399FR","SJU","11:08","14:41","213","0","0","0","0","0"
"F9","08/18/2024","3547","N614FR","SJU","06:00","06:00","0","0","0","0","0","0"
"F9","08/19/2024","1871","N386FR","ATL","08:56","08:47","-9","0","0","0","0","0"
"F9","08/19/2024","3237","N637FR","LAS","06:59","07:04","5","0","0","0","0","0"
"F9","08/19/2024","3545","","SJU","11:08","00:00","0","0","0","0","0","0"
"F9","08/19/2024","3547","N646FR","SJU","06:00","06:06","6","0","0","0","0","0"
"F9","08/20/2024","1871","N386FR","ATL","08:56","08:45","-11","0","0","0","0","0"
"F9","08/20/2024","3237","N629FR","LAS","06:59","06:58","-1","0","0","0","0","0"
"F9","08/20/2024","3545","N622FR","SJU","11:08","10:55","-13","0","0","0","0","0"
"F9","08/20/2024","3547","N626FR","SJU","06:00","06:35","35","27","0","0","0","0"
"F9","08/21/2024","1871","N317FR","ATL","08:56","08:46","-10","0","0","0","0","0"
"F9","08/21/2024","3237","N637FR","LAS","06:59","06:57","-2","0","0","0","0","0"
"F9","08/21/2024","3545","N615FR","SJU","11:08","10:59","-9","0","0","0","0","0"
"F9","08/21/2024","3547","N607FR","SJU","06:00","05:59","-1","0","0","0","0","0"
"F9","08/22/2024","1871","N386FR","ATL","08:56","08:51","-5","0","0","0","0","0"
"F9","08/22/2024","3237","N638FR","LAS","06:59","06:53","-6","0","0","0","0","0"
"F9","08/22/2024","3545","N622FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","08/22/2024","3547","N624FR","SJU","06:00","05:57","-3","0","0","0","0","0"
"F9","08/23/2024","1871","N307FR","ATL","08:56","08:46","-10","0","0","0","0","0"
"F9","08/23/2024","3237","N609FR","LAS","06:59","07:15","16","0","0","0","0","0"
"F9","08/23/2024","3545","N634FR","SJU","11:08","11:01","-7","0","0","0","0","0"
"F9","08/23/2024","3547","N616FR","SJU","06:00","05:55","-5","0","0","0","0","0"
"F9","08/24/2024","1871","N346FR","ATL","08:56","09:00","4","0","0","43","0","0"
"F9","08/24/2024","3237","N638FR","LAS","06:59","07:09","10","0","0","0","0","0"
"F9","08/24/2024","3545","N616FR","SJU","11:08","10:47","-21","0","0","0","0","0"
"F9","08/24/2024","3547","N615FR","SJU","06:00","05:58","-2","0","0","0","0","0"
"F9","08/25/2024","1871","N371FR","ATL","08:56","08:44","-12","0","0","0","0","0"
"F9","08/25/2024","3237","N637FR","LAS","06:59","06:55","-4","0","0","0","0","0"
"F9","08/25/2024","3545","N634FR","SJU","11:08","10:50","-18","0","0","0","0","0"
"F9","08/25/2024","3547","N649FR","SJU","06:00","05:58","-2","0","0","0","0","0"
"F9","08/26/2024","1871","N307FR","ATL","08:56","10:41","105","0","0","0","0","77"
"F9","08/26/2024","3237","N637FR","LAS","06:59","06:57","-2","0","0","0","0","0"
"F9","08/26/2024","3545","N649FR","SJU","11:08","10:53","-15","0","0","0","0","0"
"F9","08/26/2024","3547","N642FR","SJU","06:00","05:55","-5","0","0","0","0","0"
"F9","08/27/2024","1871","N614FR","ATL","08:56","09:09","13","0","0","9","0","13"
"F9","08/27/2024","3237","N626FR","LAS","06:59","06:56","-3","0","0","0","0","0"
"F9","08/27/2024","3545","N642FR","SJU","11:08","12:38","90","0","0","0","0","74"
"F9","08/27/2024","3547","N636FR","SJU","06:00","05:56","-4","0","0","0","0","0"
"F9","08/28/2024","1871","N378FR","ATL","08:56","09:04","8","0","0","0","0","0"
"F9","08/28/2024","3237","N634FR","LAS","06:59","06:54","-5","0","0","0","0","0"
"F9","08/28/2024","3545","N644FR","SJU","11:08","10:48","-20","0","0","0","0","0"
"F9","08/28/2024","3547","N615FR","SJU","06:00","06:45","45","0","0","0","0","0"
"F9","08/29/2024","1871","N356FR","ATL","08:56","08:56","0","0","0","16","0","0"
"F9","08/29/2024","3237","N646FR","LAS","06:59","06:54","-5","0","0","0","0","0"
"F9","08/29/2024","3545","N636FR","SJU","11:08","11:03","-5","0","0","0","0","0"
"F9","08/29/2024","3547","N621FR","SJU","06:00","06:03","3","0","0","0","0","0"
"F9","08/30/2024","1871","N347FR","ATL","08:56","08:54","-2","0","0","27","0","0"
"F9","08/30/2024","3237","N646FR","LAS","06:59","06:56","-3","0","0","0","0","0"
"F9","08/30/2024","3545","N652FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","08/30/2024","3547","N621FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","08/31/2024","1871","N316FR","ATL","08:56","09:16","20","8","0","3","0","12"
"F9","08/31/2024","3237","N619FR","LAS","06:59","07:58","59","19","0","0","0","31"
"F9","08/31/2024","3545","N606FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","08/31/2024","3547","N642FR","SJU","06:00","05:51","-9","0","0","0","0","0"
"F9","09/01/2024","1871","N335FR","ATL","08:56","08:53","-3","0","0","0","0","0"
"F9","09/01/2024","3237","N624FR","LAS","06:59","07:43","44","0","32","0","0","0"
"F9","09/01/2024","3545","N652FR","SJU","11:08","10:51","-17","0","0","0","0","0"
"F9","09/01/2024","3547","N640FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/02/2024","1871","N233FR","ATL","08:56","08:45","-11","0","0","0","0","0"
"F9","09/02/2024","3237","N619FR","LAS","06:59","06:54","-5","0","0","0","0","0"
"F9","09/02/2024","3545","N645FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","09/02/2024","3547","N603FR","SJU","06:00","05:47","-13","0","0","0","0","0"
"F9","09/03/2024","1871","N367FR","ATL","08:56","08:55","-1","0","0","0","0","0"
"F9","09/03/2024","3237","N625FR","LAS","06:59","07:45","46","34","0","0","0","0"
"F9","09/03/2024","3545","N606FR","SJU","11:08","11:26","18","0","0","30","0","18"
"F9","09/03/2024","3547","N611FR","SJU","06:00","05:48","-12","0","0","0","0","0"
"F9","09/04/2024","1871","N311FR","ATL","08:56","08:40","-16","0","0","0","0","0"
"F9","09/04/2024","3237","N619FR","LAS","06:59","06:49","-10","0","0","0","0","0"
"F9","09/04/2024","3545","N639FR","SJU","11:08","10:53","-15","0","0","0","0","0"
"F9","09/04/2024","3547","N642FR","SJU","06:00","05:48","-12","0","0","0","0","0"
"F9","09/05/2024","1871","N620FR","ATL","08:59","08:52","-7","0","0","0","0","0"
"F9","09/05/2024","3237","N626FR","LAS","06:59","07:15","16","0","0","0","0","0"
"F9","09/05/2024","3545","N611FR","SJU","11:08","10:55","-13","0","0","0","0","0"
"F9","09/05/2024","3547","N639FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/06/2024","1871","N381FR","ATL","08:56","08:39","-17","0","0","0","0","0"
"F9","09/06/2024","3237","N626FR","LAS","06:59","06:48","-11","0","0","0","0","0"
"F9","09/06/2024","3545","N639FR","SJU","11:08","10:56","-12","0","0","0","0","0"
"F9","09/06/2024","3547","N645FR","SJU","06:00","06:04","4","0","0","0","0","0"
"F9","09/07/2024","1871","N634FR","ATL","08:59","08:52","-7","0","0","17","0","0"
"F9","09/07/2024","3237","N626FR","LAS","06:59","06:59","0","0","0","0","0","0"
"F9","09/07/2024","3545","N652FR","SJU","11:08","11:05","-3","0","0","0","0","0"
"F9","09/07/2024","3547","N639FR","SJU","06:00","05:49","-11","0","0","0","0","0"
"F9","09/08/2024","1871","N646FR","ATL","08:59","08:54","-5","0","0","0","0","0"
"F9","09/08/2024","3237","N616FR","LAS","06:59","06:53","-6","0","0","0","0","0"
"F9","09/08/2024","3545","N639FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","09/08/2024","3547","N629FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/09/2024","1871","N721FR","ATL","08:59","11:46","167","0","0","1","0","167"
"F9","09/09/2024","3237","N616FR","LAS","06:59","06:56","-3","0","0","0","0","0"
"F9","09/09/2024","3545","N625FR","SJU","11:08","10:57","-11","0","0","0","0","0"
"F9","09/09/2024","3547","N629FR","SJU","06:00","05:46","-14","0","0","0","0","0"
"F9","09/10/2024","1871","N230FR","ATL","08:56","08:47","-9","0","0","0","0","0"
"F9","09/10/2024","3237","N645FR","LAS","06:59","07:06","7","0","0","0","0","0"
"F9","09/10/2024","3545","N629FR","SJU","11:08","10:49","-19","0","0","0","0","0"
"F9","09/10/2024","3547","N625FR","SJU","06:00","05:43","-17","0","0","0","0","0"
"F9","09/11/2024","1871","N649FR","ATL","08:59","08:49","-10","0","0","0","0","0"
"F9","09/11/2024","3237","N605FR","LAS","06:59","07:06","7","0","0","0","0","0"
"F9","09/11/2024","3547","N630FR","SJU","06:00","05:52","-8","0","0","0","0","0"
"F9","09/12/2024","1871","N709FR","ATL","08:59","08:46","-13","0","0","20","0","0"
"F9","09/12/2024","3237","N644FR","LAS","06:59","07:18","19","0","0","0","0","0"
"F9","09/12/2024","3545","N638FR","SJU","11:08","12:18","70","66","0","0","0","2"
"F9","09/12/2024","3547","N642FR","SJU","06:00","06:00","0","0","0","0","0","0"
"F9","09/13/2024","1871","N381FR","ATL","08:56","08:46","-10","0","0","0","0","0"
"F9","09/13/2024","3237","N644FR","LAS","06:59","07:14","15","0","0","0","0","0"
"F9","09/13/2024","3545","N642FR","SJU","11:08","14:02","174","174","0","0","0","0"
"F9","09/13/2024","3547","N650FR","SJU","06:00","06:03","3","0","0","0","0","0"
"F9","09/14/2024","1871","N719FR","ATL","08:59","09:22","23","23","0","6","0","0"
"F9","09/14/2024","3237","N635FR","LAS","06:59","07:40","41","18","0","0","0","0"
"F9","09/14/2024","3545","N652FR","SJU","11:08","10:55","-13","0","0","0","0","0"
"F9","09/14/2024","3547","N630FR","SJU","06:00","07:18","78","0","0","7","0","78"
"F9","09/15/2024","1871","N709FR","ATL","08:59","08:50","-9","0","0","0","0","0"
"F9","09/15/2024","3237","N640FR","LAS","06:59","07:21","22","0","0","0","0","0"
"F9","09/15/2024","3545","N652FR","SJU","11:08","10:49","-19","0","0","0","0","0"
"F9","09/15/2024","3547","N603FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/16/2024","1871","N719FR","ATL","08:59","10:32","93","0","0","0","0","88"
"F9","09/16/2024","3237","N640FR","LAS","06:59","07:27","28","18","0","6","0","10"
"F9","09/16/2024","3545","N652FR","SJU","11:08","11:03","-5","0","0","0","0","0"
"F9","09/16/2024","3547","N611FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/17/2024","1871","N356FR","ATL","08:56","08:53","-3","0","0","15","0","0"
"F9","09/17/2024","3237","N640FR","LAS","06:59","08:47","108","88","0","0","0","0"
"F9","09/17/2024","3545","N642FR","SJU","11:08","10:46","-22","0","0","0","0","0"
"F9","09/17/2024","3547","N630FR","SJU","06:00","05:45","-15","0","0","0","0","0"
"F9","09/18/2024","1871","N613FR","ATL","08:59","09:11","12","0","0","0","0","0"
"F9","09/18/2024","3237","N635FR","LAS","06:59","07:08","9","9","0","16","0","0"
"F9","09/18/2024","3545","N610FR","SJU","11:08","10:57","-11","0","0","0","0","0"
"F9","09/18/2024","3547","N642FR","SJU","06:00","05:47","-13","0","0","0","0","0"
"F9","09/19/2024","1871","N625FR","ATL","08:59","08:58","-1","0","0","0","0","0"
"F9","09/19/2024","3237","N640FR","LAS","06:59","06:54","-5","0","0","0","0","0"
"F9","09/19/2024","3545","N611FR","SJU","11:08","10:56","-12","0","0","0","0","0"
"F9","09/19/2024","3547","N620FR","SJU","06:00","06:09","9","0","0","0","0","0"
"F9","09/20/2024","1871","N330FR","ATL","08:56","22:09","793","573","0","0","0","194"
"F9","09/20/2024","3237","N636FR","LAS","06:59","08:14","75","70","0","0","0","0"
"F9","09/20/2024","3545","N642FR","SJU","11:08","11:03","-5","0","0","0","0","0"
"F9","09/20/2024","3547","N615FR","SJU","06:00","05:47","-13","0","0","0","0","0"
"F9","09/21/2024","1871","N706FR","ATL","08:59","08:48","-11","0","0","0","0","0"
"F9","09/21/2024","3237","N636FR","LAS","06:59","07:10","11","0","0","0","0","0"
"F9","09/21/2024","3545","N620FR","SJU","11:08","10:48","-20","0","0","0","0","0"
"F9","09/21/2024","3547","N615FR","SJU","06:00","05:50","-10","0","0","0","0","0"
"F9","09/22/2024","1871","N637FR","ATL","08:59","08:57","-2","0","0","0","0","0"
"F9","09/22/2024","3237","N634FR","LAS","06:59","06:59","0","0","0","15","0","0"
"F9","09/22/2024","3545","N649FR","SJU","11:08","11:00","-8","0","0","0","0","0"
"F9","09/22/2024","3547","N625FR","SJU","06:00","09:05","185","174","0","0","0","0"
"F9","09/23/2024","1871","N720FR","ATL","08:59","08:55","-4","0","0","0","0","0"
"F9","09/23/2024","3237","N645FR","LAS","06:59","07:02","3","0","0","0","0","0"
"F9","09/23/2024","3545","N604FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","09/23/2024","3547","N625FR","SJU","06:00","06:06","6","0","0","0","0","0"
"F9","09/24/2024","1871","N343FR","ATL","08:56","10:49","113","113","0","2","0","0"
"F9","09/24/2024","3237","N633FR","LAS","06:59","07:06","7","7","0","9","0","0"
"F9","09/24/2024","3545","N614FR","SJU","11:08","10:58","-10","0","0","0","0","0"
"F9","09/24/2024","3547","N604FR","SJU","06:00","05:47","-13","0","0","0","0","0"
"F9","09/25/2024","1871","N609FR","ATL","08:59","08:58","-1","0","0","20","0","0"
"F9","09/25/2024","3237","N645FR","LAS","06:59","07:29","30","17","0","0","0","0"
"F9","09/25/2024","3547","N625FR","SJU","06:00","05:53","-7","0","0","0","0","0"
